Job Title,Company Name,Location,Skills,Link
Python Developer,Afaqy,"Maadi, Cairo, Egypt",ComputerScience,https://wuzzuf.net/jobs/p/vOih05R9ip4s-Python-Developer-Afaqy-Cairo-Egypt
Full-Stack Python Team Leader (Django/React),RDI,"Riyadh, Saudi Arabia",SoftwareDevelopment,https://wuzzuf.net/jobs/p/QYjtCS50gnXV-Full-Stack-Python-Team-Leader-DjangoReact-RDI-Riyadh-Saudi-Arabia
Senior Full-Stack Python (Django/React) in KSA,RDI,"Dokki, Giza, Egypt",Python,https://wuzzuf.net/jobs/p/o21S64HNCZ4B-Senior-Full-Stack-Python-DjangoReact-in-KSA-RDI-Giza-Egypt
DAZU Pay - Python Developer (FinTech),BrightCreations,"Smart Village, Giza, Egypt",React,https://wuzzuf.net/jobs/p/fAigo2QoJCS5-DAZU-Pay---Python-Developer-FinTech-Bright-Creations-Giza-Egypt
Junior Python Developer,RDI,"Dokki, Giza, Egypt",Django,https://wuzzuf.net/jobs/p/xJp7GQsxL0de-Junior-Python-Developer-RDI-Giza-Egypt
Technical Lead (Python Django & React Native),MoneyLoop,"New Cairo, Cairo, Egypt",FullStackDevelopment,https://wuzzuf.net/jobs/p/OIf0OxgJ527L-Technical-Lead-Python-Django-React-Native-Money-Loop-Cairo-Egypt
Junior Backend Software Developer (RESTful APIs & Django),OolaTechnologies,"Sheikh Zayed, Giza, Egypt",InformationTechnologyIT,https://wuzzuf.net/jobs/p/E89xYgKoV55o-Junior-Backend-Software-Developer-RESTful-APIs-Django-Oola-Technologies-Giza-Egypt
Google Cloud Engineer,Cloud,"Cairo, Egypt",ComputerScience,https://wuzzuf.net/jobs/p/c7uW7HwsgyIY-Google-Cloud-Engineer-Cloud11-Cairo-Egypt
ODOO Developer,AldabboosGroup,"Sheraton, Cairo, Egypt",RESTfulAPI,https://wuzzuf.net/jobs/p/5xJFptUIWWhc-ODOO-Developer-Aldabboos-Group-Cairo-Egypt
Data Analyst Lead / Manager,WUZZUF,"Maadi, Cairo, Egypt",MicroserviceArchitecture,https://wuzzuf.net/jobs/p/Z2oRrb24292t-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt
Full Stack Developer (Laravel & Angular),AldabboosGroup,"Sheraton, Cairo, Egypt",DatabaseSystems,https://wuzzuf.net/jobs/p/lMuxGXGTp461-Full-Stack-Developer-Laravel-Angular-Aldabboos-Group-Cairo-Egypt
System/ Identity Engineer,TeleperformanceEgypt,"Katameya, Cairo, Egypt",React,https://wuzzuf.net/jobs/p/s8Un80G5GSEa-System-Identity-Engineer-Teleperformance---Egypt-Cairo-Egypt
Senior Data Modeler (Banking Experience Required),BBIConsultancy,"Maadi, Cairo, Egypt",Django,https://wuzzuf.net/jobs/p/oLYTmxxTsn8Y-Senior-Data-Modeler-Banking-Experience-Required-BBI-Consultancy-Cairo-Egypt
Odoo Developer,ENAYACAREINTERNATIONALCOMPANYFORBEAUTYANDCOMFORT,"Jeddah, Saudi Arabia",FullStackDevelopment,https://wuzzuf.net/jobs/p/FZid3YiJMUbf-Odoo-Developer-ENAYA-CARE-INTERNATIONAL-COMPANY-FOR-BEAUTY-AND-COMFORT-Jeddah-Saudi-Arabia
Machine Learning Engineer,Afaqy,"Maadi, Cairo, Egypt",InformationTechnologyIT,https://wuzzuf.net/jobs/p/i6gKb2MTXTOO-Machine-Learning-Engineer-Afaqy-Cairo-Egypt
Javascript Engineer,Constructor,"San Francisco, United States",SoftwareDevelopment,https://wuzzuf.net/jobs/p/3nquHd7f178N-Javascript-Engineer-Constructor-San-Francisco-United-States
Linux Systems Administrator,HorizonTechs,"Cairo, Egypt",engineer,https://wuzzuf.net/jobs/p/hdfFgy8cpnNA-Linux-Systems-Administrator-HorizonTechs-Cairo-Egypt
Odoo Developer,AwamerAlshabaka,"Mansoura, Dakahlia, Egypt",Integrations,https://wuzzuf.net/jobs/p/gNEbQPQALgXS-Odoo-Developer-Awamer-Alshabaka-اوامر-الشبكه-Dakahlia-Egypt
Odoo ERP Implementer,Confidential,"Sheraton, Cairo, Egypt",JavaScript,https://wuzzuf.net/jobs/p/UijC2T4bENug-Odoo-ERP-Implementer-Cairo-Egypt
